BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
0.0,1242.0,557.0,0.0,1,0.00890617,0.00666089,0.00224528,0.00576696,0.23713,0.0173268,1.4057
0.0,1242.0,557.0,0.0,2,0.0698131,0.0239965,0.0458166,0.111641,0.920269,0.00153048,0.362213
0.1,1242.0,557.0,0.0,1,0.0089417,0.00669682,0.00224488,0.00576607,0.237458,0.0174573,1.40376
0.1,1242.0,557.0,0.0,2,0.0720351,0.0266478,0.0453873,0.11065,0.919468,0.00157345,0.362528
0.5,1242.0,557.0,0.0,1,0.00895642,0.00672296,0.00223345,0.0057445,0.237479,0.0174761,1.40363
0.5,1242.0,557.0,0.0,2,0.0732501,0.0276612,0.0455889,0.111624,0.920804,0.00159611,0.362003
1.0,1242.0,557.0,0.0,1,0.00898104,0.00676212,0.00221892,0.00571707,0.237453,0.0174684,1.40379
1.0,1242.0,557.0,0.0,2,0.0743876,0.0284726,0.045915,0.113018,0.922539,0.0016169,0.361322
2.0,1242.0,557.0,0.0,1,0.00905775,0.00686958,0.00218817,0.00565652,0.237414,0.0174312,1.40402
2.0,1242.0,557.0,0.0,2,0.0762203,0.0298313,0.0463891,0.115243,0.925607,0.00164963,0.360124
3.0,1242.0,557.0,0.0,1,0.00915682,0.00700019,0.00215662,0.00559269,0.237393,0.0173811,1.40414
3.0,1242.0,557.0,0.0,2,0.0777407,0.031047,0.0466937,0.116931,0.928251,0.00167609,0.359098
4.0,1242.0,557.0,0.0,1,0.00926613,0.00714011,0.00212601,0.00553008,0.23738,0.0173248,1.40422
4.0,1242.0,557.0,0.0,2,0.0789901,0.0321291,0.046861,0.118182,0.930547,0.00169723,0.358212
5.0,1242.0,557.0,0.0,1,0.00937789,0.00728159,0.0020963,0.00546882,0.23737,0.0172673,1.40428
5.0,1242.0,557.0,0.0,2,0.0800248,0.0331034,0.0469214,0.119089,0.932562,0.00171419,0.357438
6.0,1242.0,557.0,0.0,1,0.00948811,0.00742059,0.00206752,0.00540918,0.237361,0.0172112,1.40433
6.0,1242.0,557.0,0.0,2,0.0808855,0.0339887,0.0468968,0.119721,0.934344,0.00172781,0.356757
7.0,1242.0,557.0,0.0,1,0.00959458,0.00755496,0.00203962,0.00535103,0.23735,0.0171579,1.40439
7.0,1242.0,557.0,0.0,2,0.081602,0.0347987,0.0468033,0.120125,0.935931,0.00173868,0.356152
8.0,1242.0,557.0,0.0,1,0.00969624,0.0076836,0.00201265,0.00529461,0.237338,0.0171082,1.40446
8.0,1242.0,557.0,0.0,2,0.0821972,0.035544,0.0466532,0.12034,0.937351,0.00174728,0.355612
9.0,1242.0,557.0,0.0,1,0.00979285,0.00780635,0.0019865,0.00523965,0.237326,0.0170621,1.40454
9.0,1242.0,557.0,0.0,2,0.0826882,0.0362326,0.0464556,0.120393,0.93863,0.00175393,0.355127
10.0,1242.0,557.0,0.0,1,0.00988441,0.0079233,0.00196111,0.00518604,0.237312,0.0170197,1.40462
10.0,1242.0,557.0,0.0,2,0.0830897,0.0368713,0.0462184,0.120309,0.939786,0.0017589,0.354691
11.0,1242.0,557.0,0.0,1,0.00997138,0.00803482,0.00193655,0.00513403,0.237296,0.0169804,1.40471
11.0,1242.0,557.0,0.0,2,0.0834132,0.0374656,0.0459476,0.120106,0.940835,0.00176243,0.354295
12.5,1242.0,557.0,0.0,1,0.0100933,0.00819199,0.00190129,0.00505911,0.237272,0.0169275,1.40486
12.5,1242.0,557.0,0.0,2,0.0837691,0.0382812,0.0454879,0.11961,0.942226,0.00176535,0.353772
15.0,1242.0,557.0,0.0,1,0.0102768,0.00843092,0.00184593,0.00494083,0.237225,0.016853,1.40514
15.0,1242.0,557.0,0.0,2,0.0840994,0.0394762,0.0446232,0.118401,0.944158,0.00176545,0.353048
17.5,1242.0,557.0,0.0,1,0.0104442,0.00865113,0.00179308,0.00482646,0.237177,0.0167904,1.40542
17.5,1242.0,557.0,0.0,2,0.0841848,0.0405103,0.0436746,0.116836,0.945748,0.00176094,0.352455
20.0,1242.0,557.0,0.0,1,0.0105972,0.00885336,0.00174384,0.00471892,0.237126,0.0167378,1.40572
20.0,1242.0,557.0,0.0,2,0.0840805,0.0414065,0.042674,0.115018,0.947053,0.00175298,0.351969
22.5,1242.0,557.0,0.0,1,0.0107393,0.00904125,0.001698,0.00461796,0.237071,0.0166924,1.40605
22.5,1242.0,557.0,0.0,2,0.08384,0.0421893,0.0416508,0.113036,0.94813,0.00174259,0.351569
25.0,1242.0,557.0,0.0,1,0.0108728,0.00921687,0.00165588,0.00452454,0.237013,0.0166521,1.40639
25.0,1242.0,557.0,0.0,2,0.0835072,0.0428783,0.0406289,0.110967,0.949024,0.00173063,0.351238
27.5,1242.0,557.0,0.0,1,0.0109987,0.00938167,0.00161707,0.00443784,0.23695,0.0166158,1.40676
27.5,1242.0,557.0,0.0,2,0.0831172,0.0434895,0.0396278,0.108872,0.949768,0.00171777,0.350963
30.0,1242.0,557.0,0.0,1,0.0111177,0.00953658,0.00158114,0.00435702,0.236883,0.016583,1.40716
30.0,1242.0,557.0,0.0,2,0.0826988,0.0440357,0.0386631,0.106803,0.950388,0.00170458,0.350734
32.5,1242.0,557.0,0.0,1,0.0112299,0.0096817,0.00154821,0.00428252,0.236811,0.0165528,1.40759
32.5,1242.0,557.0,0.0,2,0.0822755,0.0445277,0.0377478,0.104802,0.950902,0.00169153,0.350544
35.0,1242.0,557.0,0.0,1,0.0113352,0.00981691,0.0015183,0.00421456,0.236732,0.016525,1.40806
35.0,1242.0,557.0,0.0,2,0.0818654,0.0449744,0.036891,0.1029,0.951327,0.00167897,0.350388
