BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),ASSEMBLY
0,1019.3,557,0,1,0.00192133,0.00192133,0,0,0.25182,0.0185787,1.3237,RAD
0,1019.3,557,0,2,0.0232317,0.0232317,0,0,1.30037,0.0019511,0.256337,RAD
0,1019.3,557,0,2,0.0127182,0.0127182,0,0,1.33466,0.00193605,0.249752,RAD
0,1019.3,557,200,1,0.00196874,0.00196874,0,0,0.251818,0.0185372,1.32371,RAD
0,1019.3,557,200,2,0.0267441,0.0267441,0,0,1.2984,0.00199175,0.256725,RAD
0,1019.3,557,200,2,0.0159981,0.0159981,0,0,1.33431,0.00197284,0.249816,RAD
0,1019.3,557,400,1,0.00201602,0.00201602,0,0,0.251816,0.0184957,1.32372,RAD
0,1019.3,557,400,2,0.0301692,0.0301692,0,0,1.29656,0.002032,0.257091,RAD
0,1019.3,557,400,2,0.0192586,0.0192586,0,0,1.334,0.00200928,0.249875,RAD
0,1019.3,557,600,1,0.00206318,0.00206318,0,0,0.251815,0.0184542,1.32372,RAD
0,1019.3,557,600,2,0.0335141,0.0335141,0,0,1.29482,0.00207186,0.257436,RAD
0,1019.3,557,600,2,0.0225003,0.0225003,0,0,1.33372,0.00204539,0.249928,RAD
0,1019.3,557,800,1,0.00211019,0.00211019,0,0,0.251814,0.0184128,1.32373,RAD
0,1019.3,557,800,2,0.0367849,0.0367849,0,0,1.29319,0.00211133,0.257761,RAD
0,1019.3,557,800,2,0.0257235,0.0257235,0,0,1.33346,0.00208116,0.249976,RAD
0,1019.3,557,1000,1,0.00215707,0.00215707,0,0,0.251814,0.0183716,1.32373,RAD
0,1019.3,557,1000,2,0.0399869,0.0399869,0,0,1.29164,0.00215043,0.258069,RAD
0,1019.3,557,1000,2,0.0289286,0.0289286,0,0,1.33324,0.00211662,0.250018,RAD
0,1019.3,557,1200,1,0.00220381,0.00220381,0,0,0.251814,0.0183304,1.32373,RAD
0,1019.3,557,1200,2,0.0431272,0.0431272,0,0,1.29018,0.00218917,0.258361,RAD
0,1019.3,557,1200,2,0.0321159,0.0321159,0,0,1.33304,0.00215175,0.250054,RAD
0,1019.3,557,1400,1,0.0022504,0.0022504,0,0,0.251813,0.0182894,1.32373,RAD
0,1019.3,557,1400,2,0.0462058,0.0462058,0,0,1.28881,0.00222755,0.258636,RAD
0,1019.3,557,1400,2,0.0384387,0.0384387,0,0,1.33274,0.00222108,0.250112,RAD
0,1019.3,557,1800,1,0.00234317,0.00234317,0,0,0.251813,0.0182077,1.32373,RAD
0,1019.3,557,1800,2,0.0521992,0.0521992,0,0,1.28629,0.00230326,0.259143,RAD
